job_id,skill,skill_category
freehire:business-intelligence-analyst-clinical-operations-india-hybrid-remote-mms-y4crz2wg,DAX,BI / Visualization
freehire:business-intelligence-analyst-clinical-operations-india-hybrid-remote-mms-y4crz2wg,Power BI,BI / Visualization
freehire:business-intelligence-analyst-clinical-operations-india-hybrid-remote-mms-y4crz2wg,R,Programming
freehire:business-intelligence-analyst-clinical-operations-india-hybrid-remote-mms-y4crz2wg,Statistics,Statistics / Analytics
freehire:business-intelligence-analyst-clinical-operations-india-hybrid-remote-mms-y4crz2wg,Tableau,BI / Visualization
freehire:operational-risk-control-testing-wm-risk-analyst-wealth-management-morgan-stanley-xd7rfvlr,Excel,Spreadsheet
freehire:data-analyst-exl-7jyb7omd,Data Modeling,Data Engineering
freehire:data-analyst-exl-7jyb7omd,Hadoop,Data Engineering
freehire:data-analyst-exl-7jyb7omd,Python,Programming
freehire:data-analyst-exl-7jyb7omd,SQL,Database / Query
freehire:data-analyst-exl-7jyb7omd,Spark,Data Engineering
freehire:senior-data-analyst-exl-qevpps44,Data Modeling,Data Engineering
freehire:senior-data-analyst-exl-qevpps44,Hadoop,Data Engineering
freehire:senior-data-analyst-exl-qevpps44,Python,Programming
freehire:senior-data-analyst-exl-qevpps44,SQL,Database / Query
freehire:senior-data-analyst-exl-qevpps44,Spark,Data Engineering
freehire:services-business-analyst-hewlett-packard-hp-62bg47c7,SAP,Enterprise Tool
freehire:services-business-analyst-hewlett-packard-hp-62bg47c7,SQL,Database / Query
freehire:services-business-analyst-hewlett-packard-hp-62bg47c7,Statistics,Statistics / Analytics
freehire:data-analyst-5b-genpact-fdrptukv,Databricks,Data Engineering
freehire:data-analyst-5b-genpact-fdrptukv,Oracle,Database / Query
freehire:data-analyst-5b-genpact-fdrptukv,Spark,Data Engineering
freehire:data-analyst-5b-genpact-fdrptukv,Statistics,Statistics / Analytics
freehire:sr-analyst-gpp-payments-business-analyst-mufgub-k6fqga42,Jira,Collaboration Tool
freehire:sr-analyst-gpp-payments-business-analyst-mufgub-k6fqga42,Machine Learning,Machine Learning
freehire:avp-manager-gpp-payments-business-analyst-mufgub-smneemmh,Jira,Collaboration Tool
freehire:avp-manager-gpp-payments-business-analyst-mufgub-smneemmh,Machine Learning,Machine Learning
freehire:senior-data-analyst-tjx-ius4vuua,Data Modeling,Data Engineering
freehire:senior-data-analyst-tjx-ius4vuua,Excel,Spreadsheet
freehire:senior-data-analyst-tjx-ius4vuua,Power BI,BI / Visualization
freehire:senior-data-analyst-tjx-ius4vuua,Power Query,BI / Visualization
freehire:insight-analyst-chloe-6sxxzbad,A/B Testing,Statistics / Analytics
freehire:insight-analyst-chloe-6sxxzbad,Data Modeling,Data Engineering
freehire:insight-analyst-chloe-6sxxzbad,Power BI,BI / Visualization
freehire:insight-analyst-chloe-6sxxzbad,Tableau,BI / Visualization
freehire:senior-financial-data-analyst-moody-s-kupqpmb2,Alteryx,Analytics Tool
freehire:senior-financial-data-analyst-moody-s-kupqpmb2,Excel,Spreadsheet
freehire:senior-financial-data-analyst-moody-s-kupqpmb2,Power BI,BI / Visualization
freehire:senior-financial-data-analyst-moody-s-kupqpmb2,Python,Programming
freehire:analyst-business-intelligence-nielseniq-ivl3f3h6,AWS,Cloud
freehire:analyst-business-intelligence-nielseniq-ivl3f3h6,Azure,Cloud
freehire:analyst-business-intelligence-nielseniq-ivl3f3h6,GCP,Cloud
freehire:analyst-business-intelligence-nielseniq-ivl3f3h6,Git,Developer Tool
freehire:analyst-business-intelligence-nielseniq-ivl3f3h6,Pandas,Programming
freehire:analyst-business-intelligence-nielseniq-ivl3f3h6,Python,Programming
freehire:analyst-business-intelligence-nielseniq-ivl3f3h6,SQL,Database / Query
freehire:engineering-portfolio-analytics-java-developer-analyst-aqr-jokldkqf,PostgreSQL,Database / Query
freehire:engineering-portfolio-analytics-java-developer-analyst-aqr-jokldkqf,Python,Programming
freehire:engineering-portfolio-analytics-java-developer-analyst-aqr-jokldkqf,SQL,Database / Query
freehire:engineering-portfolio-analytics-java-developer-analyst-aqr-jokldkqf,SQL Server,Database / Query
freehire:operations-tax-operations-analyst-aqr-india-liroprjo,Excel,Spreadsheet
freehire:operations-tax-operations-analyst-aqr-india-liroprjo,Python,Programming
freehire:data-analyst-arcana-analytics-ugb5i7pc,Python,Programming
freehire:data-analyst-arcana-analytics-ugb5i7pc,SQL,Database / Query
freehire:data-analyst-arcana-analytics-ugb5i7pc,Statistics,Statistics / Analytics
freehire:portfolio-data-analyst-arcana-analytics-rdkhcjsx,Data Modeling,Data Engineering
freehire:supply-chain-senior-business-analyst-consultant-lingaro-group-fvclddsw,Excel,Spreadsheet
freehire:supply-chain-senior-business-analyst-consultant-lingaro-group-fvclddsw,Forecasting,Statistics / Analytics
freehire:supply-chain-senior-business-analyst-consultant-lingaro-group-fvclddsw,Power BI,BI / Visualization
freehire:supply-chain-senior-business-analyst-consultant-lingaro-group-fvclddsw,Python,Programming
freehire:supply-chain-senior-business-analyst-consultant-lingaro-group-fvclddsw,SAP,Enterprise Tool
freehire:supply-chain-senior-business-analyst-consultant-lingaro-group-fvclddsw,SQL,Database / Query
freehire:supply-chain-senior-business-analyst-consultant-lingaro-group-fvclddsw,Tableau,BI / Visualization
freehire:financial-data-analyst-moody-s-kz5mnujw,Power BI,BI / Visualization
freehire:financial-data-analyst-moody-s-kz5mnujw,Python,Programming
freehire:financial-data-analyst-moody-s-kz5mnujw,SQL,Database / Query
freehire:business-intelligence-analyst-cummins-inc-w6jjkmdu,DAX,BI / Visualization
freehire:business-intelligence-analyst-cummins-inc-w6jjkmdu,Data Modeling,Data Engineering
freehire:business-intelligence-analyst-cummins-inc-w6jjkmdu,Databricks,Data Engineering
freehire:business-intelligence-analyst-cummins-inc-w6jjkmdu,Machine Learning,Machine Learning
freehire:business-intelligence-analyst-cummins-inc-w6jjkmdu,Power BI,BI / Visualization
freehire:business-intelligence-analyst-cummins-inc-w6jjkmdu,Python,Programming
freehire:business-intelligence-analyst-cummins-inc-w6jjkmdu,SQL,Database / Query
freehire:business-intelligence-analyst-cummins-inc-w6jjkmdu,SQL Server,Database / Query
freehire:business-intelligence-analyst-cummins-inc-w6jjkmdu,Snowflake,Cloud / Warehouse
freehire:business-intelligence-analyst-cummins-inc-w6jjkmdu,Statistics,Statistics / Analytics
freehire:p2b-data-analyst-principal-cummins-inc-anyncqr5,ETL,Data Engineering
freehire:p2b-data-analyst-principal-cummins-inc-anyncqr5,SAP,Enterprise Tool
freehire:p2b-data-analyst-principal-cummins-inc-anyncqr5,SQL,Database / Query
freehire:hsw-data-analyst-arcadis-jct5yozo,Power BI,BI / Visualization
freehire:senior-business-analyst-sap-otc-fashion-levi-strauss-co-jwdx5pfs,SAP,Enterprise Tool
freehire:global-banking-markets-operations-nbfc-lending-funding-regulatory-reporting-analyst-associate-mumbai-goldman-sachs-nw7lowjj,Excel,Spreadsheet
freehire:data-analyst-hitachi-energy-4ha7v6ga,Power BI,BI / Visualization
freehire:data-analyst-hitachi-energy-4ha7v6ga,SAP,Enterprise Tool
freehire:data-analyst-hitachi-energy-4ha7v6ga,SQL,Database / Query
freehire:data-analyst-ii-fedex-mkhr4uqf,Azure,Cloud
freehire:data-analyst-ii-fedex-mkhr4uqf,GCP,Cloud
freehire:data-analyst-ii-fedex-mkhr4uqf,Git,Developer Tool
freehire:data-analyst-ii-fedex-mkhr4uqf,Oracle,Database / Query
freehire:data-analyst-ii-fedex-mkhr4uqf,Power BI,BI / Visualization
freehire:data-analyst-ii-fedex-mkhr4uqf,Python,Programming
freehire:data-analyst-ii-fedex-mkhr4uqf,SQL,Database / Query
