skill_1,skill_2,jobs_with_pair
Looker,NumPy,4
Looker,Qlik,4
Looker,Spark,4
NumPy,SciPy,4
NumPy,Spark,4
Pandas,PostgreSQL,4
Power BI,R,4
Power BI,SciPy,4
Python,R,4
Qlik,Redshift,4
Qlik,SQL Server,4
Qlik,Snowflake,4
R,SQL,4
Redshift,Spark,4
Regression,SAS,4
Regression,Spark,4
SPSS,SQL,4
SPSS,Statistics,4
SPSS,Tableau,4
SSIS,Snowflake,4
SSIS,Tableau,4
SciPy,Tableau,4
A/B Testing,Airflow,3
AWS,MySQL,3
AWS,Regression,3
AWS,SSIS,3
Airflow,BigQuery,3
Airflow,Excel,3
Airflow,GCP,3
Airflow,Redshift,3
Airflow,Spark,3
Alteryx,Azure,3
Alteryx,Data Warehousing,3
Alteryx,Looker,3
Azure,Redshift,3
Azure,SAS,3
BigQuery,Jira,3
BigQuery,NumPy,3
BigQuery,Pandas,3
BigQuery,SQL Server,3
DAX,Pandas,3
DAX,Spark,3
DAX,dbt,3
Data Modeling,MySQL,3
Data Warehousing,MySQL,3
Data Warehousing,Pandas,3
Data Warehousing,Qlik,3
Data Warehousing,SAS,3
Databricks,SAS,3
ELT,Excel,3
ELT,Looker,3
ELT,Redshift,3
ETL,MySQL,3
ETL,Oracle,3
ETL,PostgreSQL,3
Excel,Oracle,3
Excel,R,3
Excel,SPSS,3
Forecasting,Oracle,3
Forecasting,SQL Server,3
GCP,Hadoop,3
GCP,Qlik,3
GCP,Regression,3
GCP,SAP,3
GCP,SSIS,3
GCP,dbt,3
Hadoop,SAS,3
Jira,dbt,3
Looker,Power Query,3
Machine Learning,Power Query,3
MySQL,SQL Server,3
NumPy,PostgreSQL,3
NumPy,Power Query,3
NumPy,Qlik,3
NumPy,Snowflake,3
Oracle,Power BI,3
Pandas,Power Query,3
Pandas,Qlik,3
Pandas,SAP,3
Pandas,SQL Server,3
Pandas,dbt,3
Power Query,SSIS,3
Power Query,Snowflake,3
Qlik,SAS,3
R,Statistics,3
Redshift,SQL Server,3
Regression,Snowflake,3
SAS,SPSS,3
SAS,SQL Server,3
SQL Server,SSIS,3
A/B Testing,Alteryx,2
A/B Testing,Azure,2
A/B Testing,ELT,2
AWS,BigQuery,2
AWS,R,2
Airflow,DAX,2
Airflow,Data Warehousing,2
Airflow,Databricks,2
Airflow,ELT,2
Airflow,Machine Learning,2
