company_name,job_count
RTX Corporation,2
Razorpay,2
Regal Rexnord,2
Rehlko,2
RingCentral,2
Roblox,2
Rockwell Automation,2
Rolls-Royce,2
S&P Global,2
SBI Card,2
SEI,2
SLK Software,2
SPAR Solutions,2
Salesforce,2
Salesforce: The #1 AI CRM,2
Sanofi Group,2
Saxo Bank,2
Security and Intelligence Services,2
SentinelOne,2
SequoiaAT,2
Shell,2
Showpad,2
Sia Partners,2
Signify,2
Softobiz,2
Spaulding Ridge,2
Squarepoint Capital,2
Standard Chartered,2
Stantec,2
StockX,2
Synechron,2
TJX,2
TJX India,2
TSS Consultancy Pvt. Ltd.,2
TTEC India Customer Solutions Private Limited,2
Takeda Pharmaceutical,2
Tala,2
Tata Capital,2
Taylor and Francis,2
Tekwissen India,2
Tenacious Techies,2
The Citco Group,2
The Goodyear Tire & Rubber Company,2
The Toro Company,2
The Vanguard Group,2
Time Hack Consulting,2
Titanium Consulting,2
Toast,2
TopGear Consultants Private Limited,2
TransUnion,2
Travel Leaders Group,2
Travelex,2
Travelwings,2
Trinity Life Sciences,2
TripleLift,2
Two95 International Inc.,2
UKG,2
Valeo,2
Valtech,2
Vanguard,2
Vantiva,2
Varite,2
Veeva Systems,2
Veradigm,2
Verisk,2
WPP,2
Warner Bros,2
WeWork India,2
WebBee Global,2
Welo Global,2
Welocalize,2
Whatfix,2
Wipro,2
Wolters Kluwer,2
WorldQuant,2
Worldwide Clinical Trials,2
XenonStack,2
abglobal,2
agilent,2
alliancedata,2
columbiasportswearcompany,2
fil,2
fractal,2
healthcare,2
hpe,2
integrichain1,2
iprogrammer,2
nagarro1,2
newperkinelmer,2
russell,2
symplr,2
travclan,2
vwr,2
2070health,1
3 KUBED CONSULTING INDIA PRIVATE LIMITED,1
3M,1
3i Infotech Limited,1
8080-Johnson & Johnson Legal Entity,1
A.P. Moller - Maersk,1
A300-Good Year India Limited,1
ABRACON,1
ADCI - Maharashtra,1
ADCI HYD 13 SEZ - H84,1
ADCI HYD 16 SEZ,1
ADCI MAA 15 SEZ,1
ADM,1
ADP,1
AGCO Corporation,1
AKDN,1
ALIQAN Technologies,1
AMOLTECHNOLOGIES,1
ANZ Banking Group,1
APEXX Global,1
AQM Technologies Private Limited,1
AQR,1
AQR Arbitrage,1
AQR India,1
ARCIS e Services,1
ASM Technologies,1
ASSPL - Maharashtra - C32,1
ASSPL - Telangana,1
ASSPL - Telangana - D82,1
AVI-SPL India,1
AVIGNAAI PRIVATE LIMITED,1
Accelint,1
Accelleron,1
Accelya,1
Accenture India Private,1
Acesoft Labs India Private Limited,1
Actide International,1
Aditi Tech Consulting Private Limited,1
Advanced Energy,1
Aggne,1
Airpay Services,1
Alcon,1
Alcon Laboratories,1
Alembic Pharmaceuticals,1
Algoworks,1
Alight,1
Allen Online,1
AllianceBernstein LP,1
Altinvest Online Platform Pvt Ltd,1
Amazon - Middle Mile,1
Amazon Dev Center India - Hyderabad - A85,1
Amazon Development Centre Private Limited - S55,1
Amazon Now,1
Amazon Pay Private Limited,1
Amazon Pay Private Limited - D32,1
Amgen Technology Private Limited,1
Amicus India,1
Amukha Technologies Private Limited,1
Antal International,1
Antier Solutions Pvt. Ltd,1
Apollo Global,1
Apollo Management Holdings,1
Applicate,1
Apprication pvt ltd,1
"Arcwood Environmental, LLC",1
Arista Networks,1
Aristok Technologies,1
Arminus,1
Artefact,1
Arthan,1
Arting Digital,1
Astellas Pharma,1
Athelas,1
Athena Health,1
Ather Energy,1
